seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,10,1,0.1,0.323,0.48397877943884726,5.641161021641139e-8,1.1655803764174296e-7,OPTIMAL,21
1,10,5,0.1,0.322,0.1192255171587002,7.545252350693588e-8,6.328558940706941e-7,OPTIMAL,27
1,10,1,1.0,0.668,0.48333754494350534,2.5018776600438386e-7,5.176256182151627e-7,OPTIMAL,56
1,10,5,1.0,0.865,0.11922551715860791,1.3563584123910122e-7,1.137642333425462e-6,OPTIMAL,89
2,10,1,0.1,0.285,0.6202681730603822,9.574204140605502e-8,1.5435590659442762e-7,OPTIMAL,48
2,10,5,0.1,0.334,0.2506403354067923,5.502832800541313e-8,2.195510151932519e-7,OPTIMAL,44
2,10,1,1.0,0.577,0.6202681730603558,6.224858898340457e-7,1.0035764232024152e-6,OPTIMAL,47
2,10,5,1.0,0.731,0.2506403354067916,6.85096087582604e-7,2.7333906935049125e-6,OPTIMAL,76
3,10,1,0.1,0.248,0.617706192288575,6.776717875744964e-8,1.0970779804062361e-7,OPTIMAL,33
3,10,5,0.1,0.331,0.2501477459243856,7.454473560652985e-8,2.9800291641889023e-7,OPTIMAL,44
3,10,1,1.0,0.6,0.6177061922885645,3.425702417292342e-7,5.545847459360278e-7,OPTIMAL,48
3,10,5,1.0,0.82,0.2501477459243675,4.5772041151748155e-7,1.8298036121194412e-6,OPTIMAL,96
4,10,1,0.1,0.295,0.6105890503771537,6.971550214895927e-8,1.1417746529492486e-7,OPTIMAL,43
4,10,5,0.1,0.326,0.240277449723019,8.990517069706883e-8,3.741724595493515e-7,OPTIMAL,34
4,10,1,1.0,0.627,0.610589050377141,4.0516587740402343e-7,6.635660203996033e-7,OPTIMAL,58
4,10,5,1.0,0.854,0.240277449722994,5.131697534133117e-7,2.1357428672710064e-6,OPTIMAL,90
5,10,1,0.1,0.272,0.6051447637019042,7.460392004166039e-8,1.2328278077241893e-7,OPTIMAL,27
5,10,5,0.1,0.383,0.2250744327169642,8.116009242442601e-8,3.6059236364796763e-7,OPTIMAL,37
5,10,1,1.0,0.683,0.6051447637018544,2.591176034849596e-7,4.281912857541022e-7,OPTIMAL,66
5,10,5,1.0,0.907,0.22507443271691485,4.662055069215576e-7,2.0713435416260275e-6,OPTIMAL,101
1,15,1,0.1,0.52,0.563677055455365,5.191400465065499e-8,9.209885151336629e-8,OPTIMAL,35
1,15,5,0.1,0.564,0.18277872952963392,5.7568128347673664e-8,3.1496086348519865e-7,OPTIMAL,45
1,15,1,1.0,1.068,0.563677055455364,9.175106815417777e-7,1.6277266674570846e-6,OPTIMAL,64
1,15,5,1.0,1.409,0.18277872952962945,4.443117755936754e-7,2.4308783456639785e-6,OPTIMAL,92
2,15,1,0.1,0.413,0.6274398534232185,5.728194429899247e-8,9.129472604586732e-8,OPTIMAL,33
2,15,5,0.1,0.554,0.2631059047003632,4.819879168005414e-8,1.8319163366766886e-7,OPTIMAL,38
2,15,1,1.0,1.106,0.6274398534232112,8.509983556725942e-7,1.356304521051053e-6,OPTIMAL,67
2,15,5,1.0,1.233,0.26310590470036144,9.57022741887581e-7,3.6374182634536145e-6,OPTIMAL,70
3,15,1,0.1,25.218,0.6252714289032679,6.966443455436178e-8,1.1141472182440428e-7,OPTIMAL,37
3,15,5,0.1,0.595,0.263898464037302,6.914793759804638e-8,2.6202485099250284e-7,OPTIMAL,49
3,15,1,1.0,1.07,0.6252714289032602,7.757363050808763e-7,1.240640834735842e-6,OPTIMAL,55
3,15,5,1.0,1.48,0.2638984640372984,5.946844628401671e-7,2.2534644341711782e-6,OPTIMAL,113
4,15,1,0.1,0.39,0.6340664353316363,8.81432671295812e-8,1.3901268774227422e-7,OPTIMAL,31
4,15,5,0.1,0.683,0.28085071265848094,6.114980394267278e-8,2.1773068217640765e-7,OPTIMAL,80
4,15,1,1.0,1.094,0.634066435331628,9.980041777435389e-7,1.573976626056247e-6,OPTIMAL,64
4,15,5,1.0,1.562,0.2808507126584834,7.630077688003389e-7,2.716780863764693e-6,OPTIMAL,122
5,15,1,0.1,0.436,0.6091351395410659,5.777190104083729e-8,9.484251157074266e-8,OPTIMAL,41
5,15,5,0.1,0.589,0.23476668926905925,5.828076241054525e-8,2.482497711246304e-7,OPTIMAL,44
5,15,1,1.0,1.031,0.6091351395410546,7.305668883184069e-7,1.1993525198301358e-6,OPTIMAL,53
5,15,5,1.0,1.54,0.23476668926905525,8.609110714319357e-7,3.6671055470610113e-6,OPTIMAL,113
1,20,1,0.1,0.584,0.6222824804020547,8.443239252198254e-8,1.3568179506414775e-7,OPTIMAL,33
1,20,5,0.1,0.819,0.26318642984156065,5.6116335356293234e-8,2.1321899976052872e-7,OPTIMAL,53
1,20,1,1.0,1.688,0.6222824804020369,8.152616416401415e-7,1.3101167643372671e-6,OPTIMAL,65
1,20,5,1.0,2.148,0.26318642984155816,1.0061491371171627e-6,3.822966800368955e-6,OPTIMAL,118
