
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

(seed, dimension, M, k, var_A) = (7, 20, 1.0, 20.0, 1)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (100, 195, 0.6092646121014271, 0.6668714997935657, 31.134)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (200, 377, 0.609321025139863, 0.6659399091532588, 64.102)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (300, 553, 0.6093587279337453, 0.6650081893934122, 96.584)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (400, 737, 0.6093739841962877, 0.6650081893934122, 129.5)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (500, 903, 0.6094121472874902, 0.6650081893934122, 161.976)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (600, 1083, 0.6094245512030191, 0.6650081893934122, 194.934)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (700, 1267, 0.6094334559297818, 0.6639837693286731, 227.873)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (800, 1451, 0.6094442648468166, 0.6639837693286731, 260.913)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (900, 1613, 0.6094688665021853, 0.6639837693286731, 293.187)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1000, 1777, 0.6094828347657864, 0.6639837693286731, 325.863)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1100, 1951, 0.6094889306471383, 0.6639837693286731, 358.633)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1200, 2131, 0.6094942632255309, 0.6639837693286731, 391.164)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1300, 2311, 0.6095008888899198, 0.6639837693286731, 424.195)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1400, 2491, 0.6095058983495506, 0.6639837693286731, 457.006)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1500, 2657, 0.6095165449311252, 0.6639837693286731, 490.601)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1600, 2827, 0.6095238677710839, 0.6639837693286731, 523.464)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1700, 2991, 0.6095312119394759, 0.6639837693286731, 555.818)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1800, 3161, 0.6095376868383438, 0.6619114799411828, 588.853)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1900, 3341, 0.6095414356761515, 0.6619114799411828, 621.818)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2000, 3507, 0.6095463375981379, 0.6619114799411828, 654.379)
