
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

(seed, dimension, ns) = (6, 50, 10.0)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (100, 195, -116.47621107227813, -102.5607878547859, 12.768)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (200, 383, -116.4742327864486, -104.00317655797255, 24.176)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (300, 559, -116.46711401988398, -104.42058297821666, 35.054)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (400, 743, -116.4653349749583, -104.42058297821666, 45.723)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (500, 927, -116.46377058673495, -104.42058297821666, 56.405)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (600, 1109, -116.46182390735413, -104.42058297821666, 67.203)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (700, 1289, -116.45992725185847, -104.44491183829388, 78.014)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (800, 1473, -116.45929630046628, -104.44491183829388, 88.578)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (900, 1655, -116.45829962860962, -104.6199534219984, 99.019)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1000, 1835, -116.45774853997207, -104.92378867402918, 109.604)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1100, 2017, -116.45659957270018, -104.92378867402918, 120.104)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1200, 2199, -116.45507234484924, -104.92378867402918, 130.649)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1300, 2379, -116.45407619431336, -104.92378867402918, 141.084)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1400, 2557, -116.45308091006852, -104.92378867402918, 151.621)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1500, 2735, -116.45204687508618, -105.40293041594431, 162.126)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1600, 2909, -116.45061520152976, -105.40293041594431, 172.719)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1700, 3091, -116.44983691029174, -105.40293041594431, 183.148)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1800, 3263, -116.44807333552893, -105.40293041594431, 193.652)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (1900, 3439, -116.44722644176564, -105.40293041594431, 204.107)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2000, 3607, -116.44632164671508, -105.40293041594431, 214.776)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2100, 3779, -116.44550194917693, -105.58079047898617, 225.373)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2200, 3951, -116.44445015606513, -105.58079047898617, 236.033)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2300, 4125, -116.44288535486496, -105.8618715342617, 246.597)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2400, 4305, -116.44187099731317, -105.8618715342617, 257.162)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2500, 4491, -116.44119374098327, -105.8618715342617, 267.759)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2600, 4659, -116.44005900649695, -105.8618715342617, 278.584)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2700, 4837, -116.439571454412, -105.8618715342617, 289.212)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2800, 4999, -116.43843548067645, -105.8618715342617, 300.073)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (2900, 5187, -116.43821266547698, -105.8618715342617, 310.582)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3000, 5365, -116.43751958343744, -105.8618715342617, 321.212)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3100, 5547, -116.43727125244324, -105.8618715342617, 331.846)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3200, 5725, -116.43683430190596, -105.8618715342617, 342.468)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3300, 5889, -116.43618678420877, -106.01853092169685, 353.197)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3400, 6061, -116.4359135183395, -106.01853092169685, 363.881)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3500, 6245, -116.43573065724736, -106.01853092169685, 374.422)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3600, 6427, -116.43547930835803, -106.01853092169685, 384.903)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3700, 6599, -116.43498421539613, -106.01853092169685, 395.541)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3800, 6773, -116.43452912680796, -106.01853092169685, 406.07)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (3900, 6947, -116.43422274457713, -106.01853092169685, 416.69)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4000, 7127, -116.43357887985626, -106.01853092169685, 427.167)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4100, 7303, -116.43334550087162, -106.01853092169685, 437.757)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4200, 7471, -116.43245080556652, -106.01853092169685, 448.488)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4300, 7653, -116.4321293399277, -106.01853092169685, 458.937)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4400, 7821, -116.43170290197646, -106.01853092169685, 469.665)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4500, 7989, -116.4313274271004, -106.01853092169685, 480.326)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4600, 8163, -116.4310148601943, -106.01853092169685, 490.848)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4700, 8331, -116.43059391712134, -106.01853092169685, 501.398)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4800, 8495, -116.42997944695374, -106.01853092169685, 512.15)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (4900, 8669, -116.42950318758628, -106.01853092169685, 522.764)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5000, 8833, -116.42876082738297, -106.01853092169685, 533.426)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5100, 9009, -116.42833120879061, -106.01853092169685, 544.007)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5200, 9179, -116.42741726418299, -106.01853092169685, 554.585)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5300, 9351, -116.42645947546478, -106.01853092169685, 565.275)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5400, 9537, -116.42632265041765, -106.01853092169685, 575.628)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5500, 9715, -116.42579993093986, -106.01853092169685, 586.278)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5600, 9887, -116.4253048280451, -106.01853092169685, 596.91)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5700, 10059, -116.42491918824919, -106.01853092169685, 607.627)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5800, 10225, -116.42456063251775, -106.01853092169685, 618.159)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (5900, 10397, -116.42419286405838, -106.01853092169685, 628.872)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6000, 10565, -116.42368314093889, -106.01853092169685, 639.51)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6100, 10729, -116.42319790414628, -106.14025661668349, 650.166)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6200, 10905, -116.42278341810095, -106.14025661668349, 660.763)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6300, 11077, -116.42239692908265, -106.14025661668349, 671.498)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6400, 11255, -116.42222063206566, -106.14025661668349, 682.022)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6500, 11419, -116.42179376848965, -107.94148933224383, 692.672)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6600, 11597, -116.42130161558667, -107.94148933224383, 703.181)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6700, 11773, -116.4210740648394, -107.94148933224383, 713.794)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6800, 11949, -116.42087776555536, -107.94148933224383, 724.491)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (6900, 12125, -116.42053331684039, -107.94148933224383, 734.966)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7000, 12305, -116.42014630717588, -107.94148933224383, 745.465)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7100, 12479, -116.41990796494485, -107.94148933224383, 755.917)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7200, 12653, -116.41942894056837, -107.94148933224383, 766.482)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7300, 12831, -116.41916194235105, -107.94148933224383, 776.962)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7400, 13007, -116.41875792994115, -107.94148933224383, 787.534)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7500, 13179, -116.41839538396577, -107.94148933224383, 798.121)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7600, 13347, -116.41795769064935, -107.94148933224383, 808.705)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7700, 13523, -116.4176126147666, -107.94148933224383, 819.115)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7800, 13695, -116.41721327164701, -107.94148933224383, 829.684)
(iteration, tree.num_nodes, tree.lb, tree.incumbent, time / 1000) = (7900, 13877, -116.41677800288954, -107.94148933224383, 840.245)
