seed,dimension,p,k,Ns,solution,termination,time
1,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,1.0,0.4909334311888632,ALMOST_LOCALLY_SOLVED,52.1024649143219
1,50,50,25.0,5.0,0.5064226773356479,ALMOST_LOCALLY_SOLVED,20.11758589744568
1,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,1.0,0.267287871489283,ALMOST_LOCALLY_SOLVED,558.3636331558228
2,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,1.0,0.4894367899053028,ALMOST_LOCALLY_SOLVED,78.6441879272461
3,50,50,25.0,5.0,0.5095456336227562,ALMOST_LOCALLY_SOLVED,21.141968965530396
3,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,5.0,-1.074720376783107,ALMOST_LOCALLY_SOLVED,211.09165906906128
4,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,1.0,0.4531386265576207,ALMOST_LOCALLY_SOLVED,109.8803038597107
5,50,50,25.0,5.0,0.4684713230848955,ALMOST_LOCALLY_SOLVED,6.983377933502197
5,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,1.0,0.16898011188101936,ALMOST_LOCALLY_SOLVED,127.44367694854736
7,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,1.0,-0.22471884125965286,ALMOST_LOCALLY_SOLVED,16.702594995498657
8,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,5.0,0.12988655344987854,ALMOST_LOCALLY_SOLVED,162.9952290058136
9,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,0.1,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,1.0,0.4746211631498428,ALMOST_LOCALLY_SOLVED,77.15775990486145
10,50,50,25.0,5.0,0.4889709627319513,ALMOST_LOCALLY_SOLVED,21.509212017059326
10,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,0.1,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,0.1,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,1.0,0.25195247100160273,ALMOST_LOCALLY_SOLVED,133.56916093826294
2,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,0.1,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,1.0,-0.9143979596145417,ALMOST_LOCALLY_SOLVED,672.4997200965881
3,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
4,70,70,35.0,0.1,NaN,TIME_LIMIT,1800.0
4,70,70,35.0,1.0,0.4758415340144752,ALMOST_LOCALLY_SOLVED,1317.0160491466522
4,70,70,35.0,5.0,0.49082314306784947,ALMOST_LOCALLY_SOLVED,35.88216996192932
4,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
