seed,dimension,p,k,Ns,solution,termination,time
1,50,50,25.0,0.1,-1033.607008384698,LOCALLY_SOLVED,5.163282155990601
1,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,0.1,-38.714907542265266,LOCALLY_SOLVED,5.698616981506348
2,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,0.1,-45.63547713931425,LOCALLY_SOLVED,4.195111036300659
3,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,0.1,-66369.01343580225,LOCALLY_SOLVED,4.262876033782959
4,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,0.1,-462.89894808052577,LOCALLY_SOLVED,4.207313060760498
5,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,0.1,-31.402976916681922,LOCALLY_SOLVED,4.816410064697266
6,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,0.1,-585.7738455200127,LOCALLY_SOLVED,4.372044801712036
7,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,0.1,-575.3602936557205,LOCALLY_SOLVED,4.29817795753479
8,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,0.1,-129.67807057521827,LOCALLY_SOLVED,4.237867116928101
9,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,0.1,-2370.163368457003,LOCALLY_SOLVED,4.198777914047241
10,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,0.1,-14133.11902361582,LOCALLY_SOLVED,4.684700012207031
1,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,0.1,-957.671020894329,LOCALLY_SOLVED,5.513540983200073
2,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,0.1,-7485.318526911354,LOCALLY_SOLVED,5.494256973266602
3,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,5.0,-25909.22763779279,ALMOST_LOCALLY_SOLVED,177.7237229347229
3,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
4,70,70,35.0,0.1,-328.13497919027753,LOCALLY_SOLVED,6.414548873901367
4,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
