seed,n0,m0,M,time,solution,termination,ncalls
1,5,50,20.0,7.994,3.7832568240600972,OPTIMAL,474
2,5,50,20.0,7.935,5.452331495095872,OPTIMAL,418
3,5,50,20.0,12.315,2.951593366334183,OPTIMAL,3107
1,6,60,20.0,35.621,5.461964724448867,OPTIMAL,11687
2,6,60,20.0,17.15,3.1797087835972215,primal>tree.incumbent+1e-2,1963
3,6,60,20.0,8.7,2.8841788118663407,OPTIMAL,562
1,7,70,20.0,31.304,5.139748655032331,OPTIMAL,1759
2,7,70,20.0,26.137,3.2852063967499356,OPTIMAL,1373
3,7,70,20.0,23.579,1.1577039296767662,primal>tree.incumbent+1e-2,3181
1,8,80,20.0,30.165,5.842870044920834,OPTIMAL,1599
2,8,80,20.0,80.439,4.649146590705851,tree.lb>primal-dual_gap,3194
3,8,80,20.0,66.803,1.490427751039538,tree.lb>primal-dual_gap,2912
1,9,90,20.0,549.133,4.305484890294383,OPTIMAL,47331
2,9,90,20.0,441.111,5.198288416103114,primal>tree.incumbent+1e-2,29818
3,9,90,20.0,92.637,1.2882886492380505,primal>tree.incumbent+1e-2,4702
1,10,100,20.0,472.319,5.960989361724329,primal>tree.incumbent+1e-2,20957
2,10,100,20.0,711.433,5.836410065770808,OPTIMAL,26232
3,10,100,20.0,376.679,2.4841571939078526,primal>tree.incumbent+1e-2,15316
1,11,110,20.0,1660.719,5.754724252402574,tree.lb>primal-dual_gap,75599
2,11,110,20.0,1801.221,5.999212625361697,Time limit reached,96761
3,11,110,20.0,851.247,1.8447204444175198,OPTIMAL,39040
1,12,120,20.0,1801.405,7.164508965267538,Time limit reached,72179
2,12,120,20.0,1800.709,6.855915629683284,Time limit reached,82056
3,12,120,20.0,795.702,0.4357208713031888,tree.lb>primal-dual_gap,34857
1,13,130,20.0,1800.199,8.848063900109807,Time limit reached,74318
2,13,130,20.0,1801.682,8.579912910189114,Time limit reached,63815
3,13,130,20.0,1801.266,1.5262888590936292,Time limit reached,58887
1,14,140,20.0,1801.22,8.427205303051888,Time limit reached,56690
2,14,140,20.0,1801.817,8.751112579759418,Time limit reached,60467
3,14,140,20.0,1801.512,3.7930159149716456,Time limit reached,57990
1,15,150,20.0,1800.814,9.960590388137144,Time limit reached,55826
2,15,150,20.0,1801.653,10.0911204400758,Time limit reached,60329
3,15,150,20.0,1801.043,5.54330919685772,Time limit reached,58124
1,16,160,20.0,1801.894,10.486061308186784,Time limit reached,54661
2,16,160,20.0,1801.237,9.152528179212307,Time limit reached,65919
3,16,160,20.0,1800.863,5.242920619869781,Time limit reached,55433
1,17,170,20.0,1802.164,12.554012196114556,Time limit reached,55232
2,17,170,20.0,1800.377,11.108756672928148,Time limit reached,58490
3,17,170,20.0,1801.386,5.165063525708307,Time limit reached,57100
1,18,180,20.0,1801.672,12.275756428990638,Time limit reached,50966
2,18,180,20.0,1801.771,11.54266582488391,Time limit reached,52089
3,18,180,20.0,1801.182,8.959457691324685,Time limit reached,51392
1,19,190,20.0,1800.644,13.243326783217837,Time limit reached,50293
2,19,190,20.0,1801.961,13.532362751700337,Time limit reached,48385
3,19,190,20.0,1800.9,11.083505040418862,Time limit reached,49272
